,Countries and areas,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate,iso3,Region,Literacy_Gap,Literacy_Avg,Completion_Gap_Primary,Completion_Avg_Primary,OOSR_Gap_Primary,OOSR_Avg_Primary,Completion_Gap_Lower_Secondary,Completion_Avg_Lower_Secondary,OOSR_Gap_Lower_Secondary,OOSR_Avg_Lower_Secondary,Completion_Gap_Upper_Secondary,Completion_Avg_Upper_Secondary,OOSR_Gap_Upper_Secondary,OOSR_Avg_Upper_Secondary
0,Afghanistan,,,,,44.0,69.0,67.0,40.0,49.0,26.0,32.0,14.0,22.0,25.0,13.0,11.0,,,74.0,56.0,32.49,104.0,9.7,11.12,AFG,Asia,18.0,65.0,27.0,53.5,,,23.0,37.5,,,18.0,23.0,-25.0,56.5
1,Albania,6.0,3.0,6.0,1.0,21.0,15.0,94.0,96.0,98.0,97.0,76.0,80.0,,,,,48.0,58.0,99.0,100.0,11.78,107.0,55.0,12.33,ALB,Europe,-1.0,99.5,-2.0,95.0,3.0,4.5,1.0,97.5,5.0,3.5,-4.0,78.0,6.0,18.0
2,Algeria,,,,,,,93.0,93.0,49.0,65.0,22.0,37.0,,,,,21.0,19.0,98.0,97.0,24.28,109.9,51.4,11.7,DZA,Africa,1.0,97.5,0.0,93.0,,,-16.0,57.0,,,-15.0,29.5,,
3,Andorra,,,,,,,,,,,,,,,,,,,,,7.2,106.4,,,AND,Europe,,,,,,,,,,,,,,
4,Angola,,,,,,,63.0,57.0,42.0,32.0,24.0,15.0,,,,,,,,,40.73,113.5,9.3,6.89,AGO,Africa,,,6.0,60.0,,,10.0,37.0,,,9.0,19.5,,
5,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,AIA,North America,,,,,,,,,,,,,,
6,Antigua and Barbuda,4.0,1.0,1.0,2.0,14.0,12.0,,,,,,,,,,,,,,,15.33,105.0,24.8,,ATG,North America,,,,,3.0,2.5,,,-1.0,1.5,,,2.0,13.0
7,Argentina,,,,,15.0,7.0,91.0,94.0,70.0,79.0,46.0,53.0,76.0,71.0,46.0,56.0,48.0,31.0,99.0,100.0,17.02,109.7,90.0,9.79,ARG,South America,-1.0,99.5,-3.0,92.5,,,-9.0,74.5,,,-7.0,49.5,8.0,11.0
8,Armenia,9.0,9.0,11.0,9.0,16.0,4.0,99.0,99.0,95.0,99.0,69.0,79.0,,,,55.0,,50.0,,,13.99,92.7,54.6,16.99,ARM,Asia,,,0.0,99.0,0.0,9.0,-4.0,97.0,2.0,10.0,-10.0,74.0,12.0,10.0
9,Australia,,,2.0,3.0,10.0,6.0,,,,,,,94.0,70.0,,64.0,80.0,78.0,,,12.6,100.3,113.1,5.27,AUS,Oceania,,,,,,,,,-1.0,2.5,,,4.0,8.0
10,Austria,,,1.0,,10.0,9.0,,,,,,,,,98.0,,76.0,79.0,,,9.7,103.1,85.1,4.67,AUT,Europe,,,,,,,,,,1.0,,,1.0,9.5
11,Azerbaijan,10.0,7.0,,,,,,,,,,,,,81.0,,,,,,14.0,99.7,27.7,5.51,AZE,Asia,,,,,3.0,8.5,,,,,,,,
12,The Bahamas,,,23.0,21.0,29.0,24.0,,,,,,,,,,,,,,,13.97,81.4,15.1,10.36,BHS,North America,,,,,,,,,2.0,22.0,,,5.0,26.5
13,Bahrain,2.0,3.0,7.0,,18.0,6.0,,,,,,,69.0,40.0,,,,39.0,100.0,99.0,13.99,99.4,50.5,0.71,BHR,Asia,1.0,99.5,,,-1.0,2.5,,,,7.0,,,12.0,12.0
14,Bangladesh,,,,,41.0,36.0,76.0,89.0,59.0,71.0,32.0,27.0,47.0,34.0,44.0,32.0,54.0,57.0,94.0,96.0,18.18,116.5,20.6,4.19,BGD,Asia,-2.0,95.0,-13.0,82.5,,,-12.0,65.0,,,5.0,29.5,5.0,38.5
15,Barbados,1.0,2.0,7.0,3.0,7.0,3.0,99.0,99.0,98.0,98.0,91.0,97.0,,,,,,,,,10.65,99.4,65.4,10.33,BRB,North America,,,0.0,99.0,-1.0,1.5,0.0,98.0,4.0,5.0,-6.0,94.0,4.0,5.0
16,Belarus,1.0,2.0,1.0,1.0,6.0,4.0,100.0,100.0,100.0,100.0,91.0,94.0,,,,,77.0,71.0,100.0,100.0,9.9,100.5,87.4,4.59,BLR,Europe,0.0,100.0,0.0,100.0,-1.0,1.5,0.0,100.0,0.0,1.0,-3.0,92.5,2.0,5.0
17,Belgium,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,79.0,80.0,,,10.3,103.9,79.7,5.59,BEL,Europe,,,,,,1.0,,,0.0,1.0,,,-1.0,1.5
18,Belize,1.0,1.0,9.0,11.0,38.0,35.0,95.0,96.0,55.0,66.0,48.0,51.0,,,,,,,,,20.79,111.7,24.7,6.41,BLZ,North America,,,-1.0,95.5,0.0,1.0,-11.0,60.5,-2.0,10.0,-3.0,49.5,3.0,36.5
19,Benin,3.0,10.0,27.0,43.0,46.0,66.0,51.0,44.0,25.0,13.0,12.0,5.0,9.0,34.0,23.0,11.0,,,70.0,52.0,36.22,122.0,12.3,2.23,BEN,Africa,18.0,61.0,7.0,47.5,-7.0,6.5,12.0,19.0,-16.0,35.0,7.0,8.5,-20.0,56.0
20,Bhutan,5.0,2.0,18.0,6.0,33.0,22.0,67.0,71.0,41.0,38.0,25.0,18.0,,,,,56.0,,,,17.26,100.1,15.6,2.34,BTN,Asia,,,-4.0,69.0,3.0,3.5,3.0,39.5,12.0,12.0,7.0,21.5,11.0,27.5
21,Bolivia,5.0,5.0,13.0,14.0,22.0,22.0,,,,,,,,,,,,,,,21.75,98.2,,3.5,BOL,South America,,,,,0.0,5.0,,,-1.0,13.5,,,0.0,22.0
22,Bosnia and Herzegovina,,,,,22.0,19.0,99.0,100.0,97.0,97.0,92.0,92.0,,,,,46.0,42.0,,,8.11,,23.3,18.42,BIH,Europe,,,-1.0,99.5,,,0.0,97.0,,,0.0,92.0,3.0,20.5
23,Botswana,12.0,10.0,,,,,95.0,98.0,92.0,92.0,55.0,66.0,,,,16.0,,,,,24.82,103.2,24.9,18.19,BWA,Africa,,,-3.0,96.5,2.0,11.0,0.0,92.0,,,-11.0,60.5,,
24,Brazil,1.0,1.0,2.0,3.0,16.0,14.0,95.0,97.0,81.0,89.0,65.0,75.0,80.0,71.0,53.0,52.0,50.0,32.0,99.0,99.0,13.92,115.4,51.3,12.08,BRA,South America,0.0,99.0,-2.0,96.0,0.0,1.0,-8.0,85.0,-1.0,2.5,-10.0,70.0,2.0,15.0
25,British Virgin Islands,4.0,3.0,8.0,7.0,24.0,16.0,,,,,,,,,,,,,,,,,,,VGB,North America,,,,,1.0,3.5,,,1.0,7.5,,,8.0,20.0
26,Brunei,,,,,19.0,16.0,,,,,,,,,,,48.0,52.0,100.0,100.0,14.9,103.2,31.4,9.12,BRN,Asia,0.0,100.0,,,,,,,,,,,3.0,17.5
27,Bulgaria,13.0,13.0,12.0,13.0,10.0,14.0,,,,,,,,,95.0,75.0,53.0,56.0,,,8.9,89.3,71.0,4.34,BGR,Europe,,,,,0.0,13.0,,,-1.0,12.5,,,-4.0,12.0
28,Burkina Faso,21.0,22.0,48.0,44.0,67.0,65.0,32.0,29.0,13.0,6.0,6.0,2.0,36.0,59.0,21.0,22.0,,,62.0,55.0,37.93,96.1,6.5,6.26,BFA,Africa,7.0,58.5,3.0,30.5,-1.0,21.5,7.0,9.5,4.0,46.0,4.0,4.0,2.0,66.0
